Process started Wednesday August 21, 2024 10:54:25
Course Manager: Prof. Admin Super
Username: tmp
User Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36
Browser: Chrome Version: 127.0.0.0
IP Address: 127.0.0.1
Platform: Windows 10
Hostname: holynation-hp-envy-x360
Course Code: GES101 - "GES101 - Use of English"
Academic Session: 2018/2019
_____________________________________________________________________________


Matric number E016319 with scores CA - 20 Exam - 40 Total - 60 has been updated with CA - 20 Exam - 40 Total - 60
Matric number E018445 with scores CA - 30 Exam - 66 Total - 96 has been updated with CA - 30 Exam - 66 Total - 96
Matric number E018457 with scores CA - 30 Exam - 50 Total - 80 has been updated with CA - 30 Exam - 50 Total - 80
New Record has been inserted for Matric number E018635 as follows: CA - 30 Exam - 70 Total - 100
Error incomplete data for Matric number E019673
Error incomplete data for Matric number E020108
Error incomplete data for Matric number E020973
Error incomplete data for Matric number E021142
Error incomplete data for Matric number E021163
Error incomplete data for Matric number E022466
Error incomplete data for Matric number E023243
Error incomplete data for Matric number E023893
Error incomplete data for Matric number E023926
Error incomplete data for Matric number E024032
Error incomplete data for Matric number E024217
Error incomplete data for Matric number E024240
Error incomplete data for Matric number E024415
Error incomplete data for Matric number E025090
Error incomplete data for Matric number E025485
Error incomplete data for Matric number E025498
Error incomplete data for Matric number E025790
Error incomplete data for Matric number E025823
Error incomplete data for Matric number E025829
Error incomplete data for Matric number E026158
Error incomplete data for Matric number E026408
Error incomplete data for Matric number E026527
Error incomplete data for Matric number E026962
Error incomplete data for Matric number E027884
Error incomplete data for Matric number E028039
Error incomplete data for Matric number E028232
Error incomplete data for Matric number E028237
Error incomplete data for Matric number E028262
Error incomplete data for Matric number E029105
Error incomplete data for Matric number E029947
Error incomplete data for Matric number E030087
Error incomplete data for Matric number E030115
Error incomplete data for Matric number E030155
Error incomplete data for Matric number E030247
Error incomplete data for Matric number E030814
Error incomplete data for Matric number E030909
Error incomplete data for Matric number E030959
Error incomplete data for Matric number E031412
Error incomplete data for Matric number E031946
Error incomplete data for Matric number E032260
Error incomplete data for Matric number E032326
Error incomplete data for Matric number E032968
Error incomplete data for Matric number E033733
Error incomplete data for Matric number E035290
Error incomplete data for Matric number E036441
Error incomplete data for Matric number E036772
