matric_number,ca_scores,exam_scores
E013520,0,0
E016661,20,70
E020433,30,40
E022466,0,0
E022885,20,20
E025090,15,35
E025498,15,20
E025829,15,20
E026684,,
E026821,,
E027564,,
E027594,15,30
E027646,0,0
E028541,,
E028739,0,0
E030247,,
E030381,0,0
E031059,,
E032757,,
E032899,,
E033591,,
E033794,20,20
E035163,,
E036460,,
E037221,,
E037324,30,40
E038315,,
E038580,15,20
E039810,,
E039872,,
E039976,0,0
E040265,,
E040487,,
E040632,,
E040688,,
E040738,,
E040935,0,0
E040961,0,0
E040980,,
E041002,,
E041027,,
E041299,,
E041308,,
E041575,,
E041651,0,0
E041990,,
E042379,,
E042483,,
E042618,,
E042851,,
E042921,,
E042934,,
E042982,,
E043144,,
E043185,,
E043314,,
E043399,,
E043433,,
E043488,,
E043531,,
E043691,20,45
E043761,0,0
E043769,,
E043787,,
E043812,,
E043829,,
E043861,0,0
E043923,,
E044119,,
E044149,,
E044165,,
E044174,,
E044267,,
E044288,,
E044388,,
E044394,,
E044446,,
E044454,,
E044558,,
E044596,,
E044735,,
E044757,,
E044918,,
E044951,,
E045011,,
E045059,,
E045063,,
E045107,,
E045149,0,0
E045164,,
E045173,,
E045179,,
E045277,,
E045305,,
E045375,,
E045376,,
E045383,,
E045388,,
E045398,,
E045467,,
E045544,,
E045585,,
E045618,0,0
E045661,,
E045682,0,0
E045708,,
E045749,,
E045805,,
E045829,,
E046004,,
E046016,,
E046026,,
E046034,,
E046045,,
E046116,,
E046175,,
E046219,,
E046256,,
E046258,,
E046262,,
E046275,,
E046285,,
E046291,,
E046318,,
E046331,,
E046332,,
E046337,,
E046348,,
E046349,,
E046354,,
E046361,,
E046364,,
E046368,,
E046395,,
E046396,,
E046398,,
E046424,,
E046438,,
E046450,0,0
E046453,,
E046456,,
E046475,,
E046483,,
E046485,,
E046486,,
E046510,,
E046512,,
E046514,,
E046516,,
E046534,,
E046571,,
E046586,,
E046622,,
E046624,,
E046628,,
E046678,,
E046752,,
E046784,,
E046814,,
E046849,,
E046863,,
E046867,,
E046907,,
E046922,,
E046935,,
E046949,,
E046985,,
E046996,,
E046996,,
E046998,,
E047036,,
E047039,,
E047087,,
E047090,,
E047122,,
E047147,,
E047168,,
E047188,0,0
E047250,0,0
E047331,,
E047339,,
E047361,,
E047366,,
E047372,,
E047438,,
E047463,,
E047481,,
E047506,,
E047581,,
E047586,,
E047588,,
E047623,,
E047640,,
E047645,,
E047666,,
E047671,,
E047675,,
E047708,,
E047717,,
E047719,,
E047720,,
E047725,,
E047774,,
E047800,,
E047825,,
E047847,,
E047862,,
E047874,,
E047892,,
E047924,0,0
E047943,,
E047974,,
E047986,,
E048117,,
E048134,,
E048216,,
E048224,30,45
E048225,,
E048226,,
E048227,,
E048228,,
E048229,,
E048230,,
E048231,,
E048232,,
E048233,,
E048234,,
E048235,,
E048236,,
E048237,,
E048238,,
E048239,,
E048240,,
E048241,,
E048242,,
E048243,,
E048244,,
E048245,,
E048246,,
E048247,,
E048248,,
E048249,,
E048250,,
E048251,,
E048252,,
E048253,,
E048254,,
E048255,,
E048256,,
E048257,,
E048258,,
E048259,,
E048260,,
E048261,,
E048262,,
E048263,,
E048265,,
E048266,,
E048267,,
E048268,,
E048269,,
E048270,,
E048271,,
E048272,,
E048273,,
E048274,,
E048275,,
E048276,,
E048277,,
E048278,,
E048279,,
E048280,,
E048281,,
E048282,,
E048283,,
E048284,,
E048285,,
E048286,,
E048287,,
E048288,,
E048289,,
E048290,,
E048291,,
E048292,,
E048293,,
E048294,,
E048295,,
E048296,,
E048297,,
E048298,,
E048299,,
E048300,,
E048301,,
E048302,,
E048303,,
E048304,,
E048305,,
E048306,,
E048307,,
E048308,,
E048309,,
E048310,,
E048311,,
E048312,,
E048313,,
E048314,,
E048315,,
E048316,,
E048317,,
E048318,,
E048319,,
E048320,,
E048321,,
E048322,,
E048323,,
E048324,,
E048325,,
E048326,,
E048327,,
E048328,,
E048329,,
E048330,,
E048331,,
E048332,,
E048333,,
E048334,,
E048335,,
E048336,,
E048337,,
E048338,,
E048339,,
E048340,,
E048341,,
E048342,,
E048343,,
E048344,,
E048345,,
E048346,,
E048347,,
E048348,,
E048349,,
E048350,,
E048351,,
E048352,,
E048353,,
E048354,,
E048355,,
E048356,,
E048357,,
E048358,,
E048359,,
E048360,,
E048361,,
E048362,,
E048363,,
E048364,,
E048365,,
E048366,,
E048367,,
E048368,,
E048369,,
E048370,,
E048371,,
E048372,,
E048373,,
E048374,,
E048375,,
E048376,,
E048377,,
E048378,,
E048379,,
E048380,,
E048381,,
E048382,,
E048383,,
E048384,,
E048385,,
E048386,,
E048387,,
E048388,,
E048389,,
E048390,,
E048391,,
E048392,,
E048393,,
E048394,,
